config,method,TA,RA,forget_acc,UA
cifar100_idn_nr0.2,FT,61.62,99.41,33.65,66.35
cifar100_idn_nr0.3,FT,59.50,99.50,36.43,63.57
cifar100_idn_nr0.4,FT,58.03,95.91,41.00,59.00
cifar100_idn_nr0.5,FT,64.11,89.28,62.91,37.09
cifar100_nr0.2,FT,67.46,99.97,10.44,89.56
cifar100_nr0.5,FT,61.67,96.11,58.90,41.10
cifar100_nr0.8,FT,34.47,70.02,33.69,66.31
cifar10_idn_nr0.2,FT,90.83,92.08,82.52,17.48
cifar10_idn_nr0.3,FT,90.97,92.10,82.85,17.15
cifar10_idn_nr0.4,FT,89.49,91.88,82.20,17.80
cifar10_idn_nr0.5,FT,89.55,90.49,83.64,16.36
cifar10_nr0.2,FT,92.23,99.64,88.19,11.81
cifar10_nr0.4,FT,93.07,99.12,94.51,5.49
cifar10_nr0.5,FT,88.40,98.74,85.66,14.34
cifar10_nr0.8,FT,77.65,89.98,76.93,23.07
cifar100_idn_nr0.2,GA,32.86,81.26,0.07,99.93
cifar100_idn_nr0.3,GA,16.41,67.45,0.06,99.94
cifar100_idn_nr0.4,GA,29.04,74.97,2.96,97.04
cifar100_idn_nr0.5,GA,24.71,32.15,21.21,78.79
cifar100_nr0.2,GA,39.98,95.44,0.88,99.12
cifar100_nr0.5,GA,26.92,37.70,24.29,75.71
cifar100_nr0.8,GA,3.44,5.69,3.16,96.84
cifar10_idn_nr0.2,GA,87.57,88.20,74.51,25.49
cifar10_idn_nr0.3,GA,55.62,60.40,46.32,53.68
cifar10_idn_nr0.4,GA,15.94,18.07,13.50,86.50
cifar10_idn_nr0.5,GA,19.40,20.19,19.04,80.96
cifar10_nr0.2,GA,89.02,96.92,81.60,18.40
cifar10_nr0.4,GA,62.45,65.23,62.84,37.16
cifar10_nr0.5,GA,48.98,61.16,44.36,55.64
cifar10_nr0.8,GA,4.69,6.29,5.07,94.93
cifar100_idn_nr0.2,MUNBa,60.15,97.20,23.17,76.83
cifar100_idn_nr0.3,MUNBa,57.04,98.05,23.69,76.31
cifar100_idn_nr0.4,MUNBa,58.88,92.88,41.43,58.57
cifar100_idn_nr0.5,MUNBa,66.09,85.94,65.19,34.81
cifar100_nr0.2,MUNBa,67.16,99.97,26.74,73.26
cifar100_nr0.5,MUNBa,62.23,92.91,59.32,40.68
cifar100_nr0.8,MUNBa,33.89,62.24,33.11,66.89
cifar10_idn_nr0.2,MUNBa,91.71,92.19,82.25,17.75
cifar10_idn_nr0.3,MUNBa,91.29,92.27,82.25,17.75
cifar10_idn_nr0.4,MUNBa,90.42,92.30,82.93,17.07
cifar10_idn_nr0.5,MUNBa,90.23,90.96,84.43,15.57
cifar10_nr0.2,MUNBa,92.14,99.69,87.56,12.44
cifar10_nr0.4,MUNBa,92.59,99.38,94.64,5.36
cifar10_nr0.5,MUNBa,88.56,99.15,85.34,14.66
cifar10_nr0.8,MUNBa,78.85,93.77,78.36,21.64
cifar100_idn_nr0.2,RL,7.04,6.21,6.31,93.69
cifar100_idn_nr0.3,RL,6.43,5.97,5.75,94.25
cifar100_idn_nr0.4,RL,63.97,91.95,54.62,45.38
cifar100_idn_nr0.5,RL,66.98,83.48,65.77,34.23
cifar100_nr0.2,RL,30.61,34.58,25.97,74.03
cifar100_nr0.5,RL,62.91,89.74,60.13,39.87
cifar100_nr0.8,RL,31.61,47.02,30.27,69.73
cifar10_idn_nr0.2,RL,92.35,91.45,83.51,16.49
cifar10_idn_nr0.3,RL,92.01,91.23,84.27,15.73
cifar10_idn_nr0.4,RL,92.02,90.76,85.01,14.99
cifar10_idn_nr0.5,RL,90.76,89.25,84.74,15.26
cifar10_nr0.2,RL,92.66,99.47,87.65,12.35
cifar10_nr0.4,RL,92.71,97.42,93.78,6.22
cifar10_nr0.5,RL,89.19,97.94,86.26,13.74
cifar10_nr0.8,RL,77.17,84.18,76.41,23.59
cifar100_idn_nr0.2,SalUn,66.64,91.87,47.53,52.47
cifar100_idn_nr0.3,SalUn,2.80,2.79,2.43,97.57
cifar100_idn_nr0.4,SalUn,64.95,90.91,56.01,43.99
cifar100_idn_nr0.5,SalUn,67.31,80.84,65.92,34.08
cifar100_nr0.2,SalUn,67.77,99.33,46.23,53.77
cifar100_nr0.5,SalUn,62.32,86.87,59.84,40.16
cifar100_nr0.8,SalUn,30.21,44.07,29.22,70.78
cifar10_idn_nr0.2,SalUn,92.43,91.37,83.81,16.19
cifar10_idn_nr0.3,SalUn,91.77,91.21,84.23,15.77
cifar10_idn_nr0.4,SalUn,91.96,90.63,85.15,14.85
cifar10_idn_nr0.5,SalUn,90.80,89.09,84.75,15.25
cifar10_nr0.2,SalUn,92.47,99.41,87.74,12.26
cifar10_nr0.4,SalUn,92.75,97.23,93.73,6.27
cifar10_nr0.5,SalUn,89.22,97.88,86.24,13.76
cifar10_nr0.8,SalUn,76.73,84.03,75.86,24.14
